user_id,action_date,action_name,error_message,device
3152,2022-07-01,checkout_monthly_completepayment.click.fail,"year field is required",desktop
4034,2022-07-01,checkout_annual_completepayment.click.fail,"number field is required",desktop
162320,2022-07-01,checkout_monthly_completepayment.click.fail,"State field is required",desktop
277323,2022-07-01,checkout_annual_completepayment.click.fail,"year field is required",desktop
278088,2022-07-01,checkout_monthly_completepayment.click.fail,"year field is required",desktop
279959,2022-07-01,checkout_data-strategy_completepayment.click.fail,"year field is required",mobile
12003,2022-07-02,checkout_annual_completepayment.click.fail,"number field is required",desktop
279178,2022-07-02,checkout_monthly_completepayment.click.fail,"cvv field is required",desktop
280084,2022-07-02,checkout_annual_completepayment.click.fail,"Your card's security code is incorrect.",desktop
280114,2022-07-02,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
280126,2022-07-03,checkout_annual_completepayment.click.fail,"Your card is not supported.",desktop
280132,2022-07-03,checkout_monthly_completepayment.click.fail,"Your card's security code is invalid.",desktop
280140,2022-07-03,checkout_monthly_completepayment.click.fail,"month field is required",desktop
280189,2022-07-03,checkout_data-strategy_completepayment.click.fail,"year field is required",desktop
277721,2022-07-04,checkout_annual_completepayment.click.fail,"zip field is required",desktop
278853,2022-07-04,checkout_monthly_completepayment.click.fail,"year field is required",desktop
280134,2022-07-04,checkout_annual_completepayment.click.fail,"zip field is required",desktop
280307,2022-07-04,checkout_data-strategy_completepayment.click.fail,"year field is required",desktop
283840,2022-07-04,checkout_annual_completepayment.click.fail,"number field is required",desktop
156795,2022-07-05,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
279482,2022-07-05,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
280145,2022-07-05,checkout_lifetime_completepayment.click.fail,"year field is required",desktop
9666,2022-07-06,checkout_annual_completepayment.click.fail,"number field is required",desktop
134064,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",desktop
156099,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",mobile
276770,2022-07-06,checkout_monthly_completepayment.click.fail,"number field is required",desktop
277322,2022-07-06,checkout_annual_completepayment.click.fail,"State field is required",desktop
280031,2022-07-06,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
280324,2022-07-06,checkout_monthly_completepayment.click.fail,"year field is required",desktop
280448,2022-07-06,checkout_lifetime_completepayment.click.fail,"Credit card number: must be a valid credit card number.",desktop
280516,2022-07-06,checkout_data-strategy_completepayment.click.fail,"year field is required",desktop
280592,2022-07-06,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
2,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
280709,2022-07-08,checkout_monthly_completepayment.click.fail,"year field is required",desktop
280744,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
280772,2022-07-08,checkout_monthly_completepayment.click.fail,"year field is required",desktop
280776,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
280794,2022-07-08,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
280814,2022-07-08,checkout_quarterly_completepayment.click.fail,"zip field is required",desktop
8191,2022-07-09,checkout_annual_completepayment.click.fail,"number field is required",desktop
275045,2022-07-09,checkout_monthly_completepayment.click.fail,"year field is required",desktop
3643,2022-07-10,checkout_annual_completepayment.click.fail,"number field is required",desktop
278833,2022-07-10,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
280208,2022-07-10,checkout_annual_completepayment.click.fail,"year field is required",desktop
280412,2022-07-10,checkout_annual_completepayment.click.fail,"year field is required",desktop
280868,2022-07-10,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
182,2022-07-11,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
213546,2022-07-11,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
275800,2022-07-11,checkout_monthly_completepayment.click.fail,"year field is required",desktop
281117,2022-07-11,checkout_monthly_completepayment.click.fail,"number field is required",desktop
281161,2022-07-11,checkout_monthly_completepayment.click.fail,"year field is required",desktop
266814,2022-07-12,checkout_annual_completepayment.click.fail,"number field is required",desktop
281074,2022-07-12,checkout_quarterly_completepayment.click.fail,"State field is required",desktop
281281,2022-07-12,checkout_annual_completepayment.click.fail,"Your card's security code is incorrect.",mobile
281283,2022-07-12,checkout_quarterly_completepayment.click.fail,"Your card was declined.",mobile
281315,2022-07-12,checkout_business_completepayment.click.fail,"number field is required",desktop
214361,2022-07-13,checkout_monthly_completepayment.click.fail,"year field is required",mobile
280613,2022-07-13,checkout_annual_completepayment.click.fail,"State field is required",desktop
280863,2022-07-13,checkout_annual_completepayment.click.fail,"number field is required",mobile
281297,2022-07-13,checkout_monthly_completepayment.click.fail,"Your card is not supported.",mobile
281440,2022-07-13,checkout_annual_completepayment.click.fail,"year field is required",desktop
281592,2022-07-13,checkout_annual_completepayment.click.fail,"number field is required",mobile
30047,2022-07-14,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
280854,2022-07-14,checkout_annual_completepayment.click.fail,"Credit card number: must be a valid credit card number.",desktop
281370,2022-07-14,checkout_lifetime_completepayment.click.fail,"year field is required",mobile
281451,2022-07-14,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
281527,2022-07-14,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
172869,2022-07-15,checkout_annual_completepayment.click.fail,"number field is required",desktop
245818,2022-07-15,checkout_annual_completepayment.click.fail,"number field is required",desktop
275786,2022-07-15,checkout_monthly_completepayment.click.fail,"lastName field is required",desktop
281299,2022-07-15,checkout_annual_completepayment.click.fail,"year field is required",desktop
181830,2022-07-16,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
269874,2022-07-16,checkout_quarterly_completepayment.click.fail,"Your card has insufficient funds.",desktop
280932,2022-07-16,checkout_annual_completepayment.click.fail,"number field is required",desktop
281773,2022-07-16,checkout_monthly_completepayment.click.fail,"Your card number is incorrect.",desktop
281787,2022-07-17,checkout_annual_completepayment.click.fail,"State field is required",desktop
281796,2022-07-17,checkout_monthly_completepayment.click.fail,"year field is required",mobile
135492,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",desktop
180571,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",desktop
201697,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",mobile
267684,2022-07-18,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile
273161,2022-07-18,checkout_annual_completepayment.click.fail,"number field is required",desktop
274877,2022-07-18,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
281992,2022-07-18,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
281993,2022-07-18,checkout_annual_completepayment.click.fail,"month field is required",desktop
144179,2022-07-19,checkout_quarterly_completepayment.click.fail,"Your card was declined.",desktop
184569,2022-07-19,checkout_annual_completepayment.click.fail,"number field is required",desktop
277403,2022-07-19,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
280821,2022-07-19,checkout_annual_completepayment.click.fail,"month field is required",desktop
281671,2022-07-19,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile
282040,2022-07-19,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile
282049,2022-07-19,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
282072,2022-07-19,checkout_annual_completepayment.click.fail,"year field is required",desktop
282085,2022-07-19,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",mobile
256832,2022-07-20,checkout_annual_completepayment.click.fail,"year field is required",desktop
261139,2022-07-20,checkout_annual_completepayment.click.fail,"number field is required",mobile
279396,2022-07-20,checkout_annual_completepayment.click.fail,"number field is required",desktop
280547,2022-07-20,checkout_monthly_completepayment.click.fail,"State field is required",desktop
281453,2022-07-20,checkout_annual_completepayment.click.fail,"year field is required",desktop
282066,2022-07-20,checkout_annual_completepayment.click.fail,"number field is required",desktop
282153,2022-07-20,checkout_annual_completepayment.click.fail,"number field is required",mobile
282158,2022-07-20,checkout_quarterly_completepayment.click.fail,"year field is required",desktop
282159,2022-07-20,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
282167,2022-07-20,checkout_annual_completepayment.click.fail,"number field is required",mobile
282172,2022-07-20,checkout_annual_completepayment.click.fail,"year field is required",mobile
135321,2022-07-21,checkout_lifetime_completepayment.click.fail,"number field is required",desktop
278101,2022-07-21,checkout_annual_completepayment.click.fail,"year field is required",desktop
282193,2022-07-21,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",mobile
282214,2022-07-21,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
282273,2022-07-21,checkout_annual_completepayment.click.fail,"year field is required",desktop
289211,2022-07-21,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
191101,2022-07-22,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
266187,2022-07-22,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
269422,2022-07-22,checkout_annual_completepayment.click.fail,"number field is required",desktop
282344,2022-07-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
272089,2022-07-23,checkout_annual_completepayment.click.fail,"number field is required",desktop
275307,2022-07-23,checkout_annual_completepayment.click.fail,"year field is required",desktop
282336,2022-07-23,checkout_annual_completepayment.click.fail,"year field is required",desktop
282371,2022-07-23,checkout_annual_completepayment.click.fail,"zip field is required",desktop
282380,2022-07-23,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",mobile
282393,2022-07-23,checkout_annual_completepayment.click.fail,"year field is required",mobile
282446,2022-07-23,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
263438,2022-07-24,checkout_annual_completepayment.click.fail,"number field is required",desktop
275224,2022-07-24,checkout_annual_completepayment.click.fail,"State field is required",mobile
282462,2022-07-24,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
